SPECIES	QUERY	SYMBOL
mouse	SAPS1	Ppp6r1
rat	SAPS1	Ppp6r1
human	C9ORF142	PAXX
human	HNRPK	HNRNPK
mouse	HNRPK	Hnrnpk
rat	HNRPK	Hnrnpk
human	CNO	BLOC1S4
mouse	CNO	Bloc1s4
rat	CNO	Bloc1s4
human	TMEM93	EMC6
mouse	TMEM93	Emc6
rat	TMEM93	Emc6
mouse	TMEM8	Tmem8
human	TMEM8	TMEM8A
rat	TMEM8	Tmem8a
human	KIAA1602	NCKAP5L
human	SULT1A3	SULT1A3
human	SULT1A3	SLX1A-SULT1A3
rat	SULT1A3	Sult1a1
human	OBFC2A	NABP1
mouse	OBFC2A	Nabp1
rat	OBFC2A	Nabp1
human	FIP1L1	FIP1L1
mouse	FIP1L1	Fip1l1
rat	FIP1L1	Fip1l1
human	P76	TM9SF2
human	P76	PLBD2
mouse	P76	Plbd2
mouse	P76	Tm9sf2
rat	P76	Plbd2
human	C1ORF159	C1orf159
human	C1ORF124	SPRTN
human	SNHG5	SNHG5
human	SNHG5	SNHG5
mouse	SNHG5	Snhg5
mouse	SNHG5	Snhg5
human	FAM21A	WASHC2C
human	FAM21A	WASHC2A
human	YWHAE	YWHAE
mouse	YWHAE	Ywhae
rat	YWHAE	Ywhae
human	PCNXL3	PCNX3
mouse	PCNXL3	Pcnx3
rat	PCNXL3	Pcnx3
mouse	SKP1A	Skp1a
human	SKP1A	SKP1
rat	SKP1A	Skp1
human	NAT15	NAA60
mouse	NAT15	Naa60
rat	NAT15	Naa60
human	C9ORF86	RABL6
human	PKM2	PKM
mouse	PKM2	Pkm
rat	PKM2	Pkm
human	BAT1	DDX39A
human	BAT1	DDX39B
human	BAT1	SLC7A9
mouse	BAT1	Ddx39
mouse	BAT1	Ddx39b
mouse	BAT1	Bat1b
rat	BAT1	Ddx39b
human	C6ORF160	SNHG5
human	C2ORF18	SLC35F6
human	FBXL10	KDM2B
mouse	FBXL10	Kdm2b
rat	FBXL10	Kdm2b
human	FAM108A3	ABHD17AP1
human	C7ORF20	GET4
human	FAM195B	MCRIP1
mouse	FAM195B	Mcrip1
rat	FAM195B	Mcrip1
human	C11ORF57	NKAPD1
human	LPPR2	PLPPR2
mouse	LPPR2	Plppr2
rat	LPPR2	Plppr2
human	BRE	BABAM2
mouse	BRE	Babam2
human	C16ORF56	CENPT
human	FAM134A	RETREG2
mouse	FAM134A	Retreg2
rat	FAM134A	Retreg2
human	WDR51B	POC1B
mouse	WDR51B	Poc1b
human	VPS26	VPS26A
mouse	VPS26	Vps26a
rat	VPS26	Vps26a
human	PLEC1	PLEC
mouse	PLEC1	Plec
rat	PLEC1	Plec
human	C1ORF52	C1orf52
human	BAT2	PRRC2A
mouse	BAT2	Prrc2a
rat	BAT2	Prrc2a
human	C5ORF5	FAM13B
human	BAT5	ABHD16A
mouse	BAT5	Abhd16a
rat	BAT5	Abhd16a
human	C1ORF66	RRNAD1
human	HNRPH3	HNRNPH3
mouse	HNRPH3	Hnrnph3
rat	HNRPH3	Hnrnph3
human	TMEM55B	PIP4P1
mouse	TMEM55B	Pip4p1
rat	TMEM55B	Pip4p1
human	FAM100A	UBALD1
mouse	FAM100A	Ubald1
rat	FAM100A	Ubald1
human	PAPD4	TENT2
mouse	PAPD4	Tent2
rat	PAPD4	Tent2
human	C7ORF55	FMC1
human	C7ORF55	C7orf55-LUC7L2
human	C11ORF10	TMEM258
human	HLA-DRB4	HLA-DRB4
human	C19ORF29	CACTIN
human	C14ORF138	VCPKMT
human	CXORF39	FAM199X
human	C14ORF133	VIPAS39
mouse	ZFP106	Zfp106
rat	ZFP106	Zfp106
rat	ZFP106	Zfp106
human	ZFP106	ZNF106
human	WIBG	PYM1
mouse	WIBG	Pym1
rat	WIBG	Pym1
human	SFRS10	TRA2B
mouse	SFRS10	Tra2b
mouse	SFRS10	Srsf2
rat	SFRS10	Tra2b
human	RBM23	RBM23
human	C19ORF43	TRIR
human	FTSJD1	CMTR2
mouse	FTSJD1	Cmtr2
rat	FTSJD1	Cmtr2
human	UBE1	UBA1
human	PTMS	PTMS
mouse	PTMS	Ptms
rat	PTMS	Ptms
human	GTF2IP1	GTF2IP1
human	C9ORF23	RPP25L
human	DULLARD	CTDNEP1
mouse	DULLARD	Ctdnep1
rat	DULLARD	Ctdnep1
human	CXORF40B	CXorf40B
human	C9ORF78	C9orf78
human	FAM134B	RETREG1
mouse	FAM134B	Retreg1
rat	FAM134B	Retreg1
human	C1ORF128	PITHD1
human	C16ORF87	C16orf87
human	CDC2L1	CDK11B
mouse	CDC2L1	Cdk11b
rat	CDC2L1	Cdk11b
human	C1ORF86	FAAP20
human	LRRC33	NRROS
mouse	LRRC33	Nrros
rat	LRRC33	Nrros
human	SLC2A3	SLC2A3
mouse	SLC2A3	Slc2a3
rat	SLC2A3	Slc2a3
human	C10ORF76	ARMH3
human	TMEM4	CNPY2
mouse	TMEM4	Cnpy2
rat	TMEM4	Cnpy2
human	CCBL2	KYAT3
mouse	CCBL2	Kyat3
rat	CCBL2	Kyat3
human	JMJD1A	KDM3A
mouse	JMJD1A	Kdm3a
rat	JMJD1A	Kdm3a
human	GLT25D1	COLGALT1
mouse	GLT25D1	Colgalt1
rat	GLT25D1	Colgalt1
human	FRAP1	MTOR
mouse	FRAP1	Mtor
rat	FRAP1	Mtor
human	LOC645937	LOC645937
human	U1SNRNPBP	SNRNP35
rat	U1SNRNPBP	Snrnp35
human	C7ORF43	C7orf43
human	AOF2	KDM1A
mouse	AOF2	Kdm1a
rat	AOF2	Kdm1a
human	C14ORF43	ELMSAN1
human	C9ORF10OS	FAM120AOS
human	C12ORF26	METTL25
human	PISD	PISD
mouse	PISD	Pisd
rat	PISD	Pisd
human	PISD	SFI1
human	C17ORF81	ELP5
human	C12ORF44	ATG101
mouse	NRD1	Nrd1
human	NRD1	NRDC
rat	NRD1	Nrdc
human	TMEM55A	PIP4P2
mouse	TMEM55A	Pip4p2
rat	TMEM55A	Pip4p2
human	SLC2A11	SLC2A11
human	C5ORF21	FAM172A
human	C19ORF56	WDR83OS
human	ITGB4BP	EIF6
mouse	ITGB4BP	Eif6
rat	ITGB4BP	Eif6
human	ZAK	MAP3K20
mouse	ZAK	Map3k20
rat	ZAK	Map3k20
human	NSUN5B	NSUN5P1
human	C20ORF191	NCOR1P1
human	CP110	CCP110
mouse	CP110	Ccp110
rat	CP110	Ccp110
human	FAM73B	MIGA2
mouse	FAM73B	Miga2
rat	FAM73B	Miga2
human	UNC84A	SUN1
mouse	UNC84A	Sun1
rat	UNC84A	Sun1
human	ZNF16	ZNF16
human	C6ORF89	C6orf89
human	ZNF259	ZPR1
mouse	ZNF259	Zpr1
human	ZNF548	ZNF548
human	SFRS5	SRSF5
mouse	SFRS5	Srsf5
rat	SFRS5	Srsf5
human	SEPN1	SELENON
mouse	SEPN1	Selenon
rat	SEPN1	Selenon
human	C10ORF32	BORCS7
human	ZSWIM6	ZSWIM6
mouse	ZSWIM6	Zswim6
rat	ZSWIM6	Zswim6
human	C21ORF91	C21orf91
human	KIAA0947	ICE1
human	KIAA1600	FAM160B1
human	SNORD13	SNORD13
human	SNORD13	SNORD13
mouse	SNORD13	Snord13
mouse	SNORD13	Snord13
human	TMEM66	SARAF
mouse	TMEM66	Saraf
rat	TMEM66	Saraf
human	ATP5SL	DMAC2
mouse	ATP5SL	Dmac2
rat	ATP5SL	Dmac2
human	C19ORF24	C19orf24
human	LGALS9	LGALS9
mouse	LGALS9	Lgals9
rat	LGALS9	Lgals9
human	OBFC2B	NABP2
mouse	OBFC2B	Nabp2
rat	OBFC2B	Nabp2
human	WBSCR16	RCC1L
mouse	WBSCR16	Rcc1l
rat	WBSCR16	Rcc1l
human	FAM195A	MCRIP2
mouse	FAM195A	Mcrip2
rat	FAM195A	Mcrip2
human	LOC646197	LOC646197
human	TH1L	NELFCD
mouse	TH1L	Nelfcd
human	KIAA1267	KANSL1
human	MFSD7	SLC49A3
mouse	MFSD7	Mfsd7a
rat	MFSD7	Slc49a3
human	SOLH	CAPN15
mouse	SOLH	Capn15
rat	SOLH	Capn15
human	ROD1	PTBP3
mouse	ROD1	Ptbp3
rat	ROD1	Ptbp3
human	CPSF3L	INTS11
mouse	CPSF3L	Ints11
rat	CPSF3L	Ints11
human	VPRBP	DCAF1
mouse	VPRBP	Dcaf1
rat	VPRBP	Dcaf1
human	C1ORF144	SZRD1
rat	C1ORF144	Szrd1
mouse	NT5C3	Nt5c3
human	NT5C3	NT5C3A
rat	NT5C3	Nt5c3a
human	IFIT5	IFIT5
human	PRIC285	HELZ2
mouse	PRIC285	Helz2
rat	PRIC285	Helz2
human	IFI27	IFI27
mouse	IFI27	Ifi27
rat	IFI27	Ifi27
mouse	IFI27	Ifi27l2a
human	SAMD9	SAMD9
rat	SAMD9	Samd9
human	IFI6	IFI6
human	HERC5	HERC5
mouse	HERC5	Herc6
human	IFIT1	IFIT1
mouse	IFIT1	Ifit1
rat	IFIT1	Ifit1
human	KIAA1618	RNF213
human	MX2	MX2
mouse	MX2	Mx2
rat	MX2	Mx2
human	C22ORF28	RTCB
human	APOBEC3A	APOBEC3A
human	APOBEC3A	APOBEC3A_B
human	FAM26F	CALHM6
mouse	FAM26F	Calhm6
rat	FAM26F	Calhm6
human	RARRES3	RARRES3
human	GBP1	GBP1
rat	GBP1	Gbp1
mouse	GBP1	Gbp2b
human	C9ORF109	FAM225A
human	GBP4	GBP4
mouse	GBP4	Gbp4
rat	GBP4	Gbp4
mouse	GBP4	Gbp3
human	ETV7	ETV7
human	BTN3A3	BTN3A3
mouse	BTN3A3	Btnl4
human	HLA-G	HLA-G
human	HLA-C	HLA-C
human	ARS2	SRRT
mouse	ARS2	Srrt
human	HLA-E	HLA-E
human	HLA-H	HLA-H
human	HLA-H	HLA-H
human	HLA-H	HLA-H
human	HLA-H	HLA-H
human	HLA-H	HLA-H
human	HLA-H	HLA-H
human	HLA-H	HLA-H
human	HLA-H	HLA-H
human	HLA-H	HLA-H
human	HLA-H	HFE
human	HLA-B	HLA-B
human	HLA-F	HLA-F
rat	HLA-F	RT1-M5
human	IL1F7	IL37
human	HCP5	HCP5
human	HCP5	CYCSP5
human	ORC3L	ORC3
mouse	ORC3L	Orc3
rat	ORC3L	Orc3
human	BTN3A2	BTN3A2
rat	BTN3A2	Btn3a2
human	HCG4	HCG4
human	HCG4	HCG4
human	HCG4	HCG4
human	HCG4	HCG4
human	HCG4	HCG4
human	HCG4	HCG4
human	HCG4	HCG4
human	HCG4	HCG4
human	HCG4	HCG4
human	HLA-A	HLA-A
human	SP100	SP100
mouse	SP100	Sp100
rat	SP100	Sp100
human	LBA1	TRANK1
mouse	LBA1	Trank1
human	SELT	SELENOT
mouse	SELT	Selenot
human	C6ORF106	C6orf106
human	KIAA0564	VWA8
mouse	KIAA0564	Vwa8
human	C20ORF123	OCSTAMP
human	SFRS14	SUGP2
mouse	SFRS14	Sugp2
rat	SFRS14	Sugp2
human	C20ORF3	APMAP
human	FAM127B	RTL8A
rat	FAM127B	Rtl8a
human	EBI2	GPR183
mouse	EBI2	Gpr183
rat	EBI2	Gpr183
human	TMEM2	CEMIP2
mouse	TMEM2	Cemip2
rat	TMEM2	Cemip2
human	COL22A1	COL22A1
mouse	COL22A1	Col22a1
rat	COL22A1	Col22a1
human	RPRC1	MAP7D1
mouse	RPRC1	Map7d1
human	TMEM188	CNEP1R1
mouse	TMEM188	Cnep1r1
rat	TMEM188	Cnep1r1
human	EFHA1	MICU2
mouse	EFHA1	Micu2
rat	EFHA1	Micu2
human	LOC644762	LOC644762
human	CSDA	YBX3
mouse	CSDA	Ybx3
rat	CSDA	Ybx3
human	ZNF75D	ZNF75D
human	LYRM4	LYRM4
mouse	LYRM4	Lyrm4
rat	LYRM4	Lyrm4
human	C10ORF137	EDRF1
human	RDBP	NELFE
mouse	RDBP	Nelfe
rat	RDBP	Nelfe
mouse	ATP5O	Atp5o
mouse	ATP5O	Atp5o
human	ATP5O	ATP5PO
rat	ATP5O	Atp5po
human	C9ORF25	FAM219A
human	RPLP0	RPLP0
mouse	RPLP0	Rplp0
rat	RPLP0	Rplp0
human	RPL30	RPL30
mouse	RPL30	Rpl30
rat	RPL30	Rpl30
human	OBFC1	STN1
mouse	OBFC1	Stn1
rat	OBFC1	Stn1
human	C16ORF13	METTL26
human	RPL36	RPL36
mouse	RPL36	Rpl36
rat	RPL36	Rpl36
human	C17ORF85	NCBP3
human	RPL27A	RPL27A
mouse	RPL27A	Rpl27a
rat	RPL27A	Rpl27a
human	MDP1	MDP1
mouse	MDP1	Mdp1
rat	MDP1	Mdp1
human	MDP1	POLG
human	HNRPA1L-2	HNRNPA1P10
human	KIAA1429	VIRMA
mouse	KIAA1429	Virma
human	ZNF434	ZSCAN32
human	HNRPA1P4	HNRNPA1P4
mouse	ATP5G2	Atp5g2
human	ATP5G2	ATP5MC2
rat	ATP5G2	Atp5mc2
human	C11ORF73	HIKESHI
human	C9ORF102	ERCC6L2
human	RPS2	RPS2
mouse	RPS2	Rps2
rat	RPS2	Rps2
rat	RPS2	Rps2-ps6
human	RPS25	RPS25
mouse	RPS25	Rps25
rat	RPS25	Rps25
human	FTL	FTL
mouse	FTL	Ftl1
rat	FTL	Ftl1
mouse	FTL	Ftl2-ps
human	EIF2C3	AGO3
mouse	EIF2C3	Ago3
rat	EIF2C3	Ago3
human	NACAP1	NACAP1
human	NACAP1	NACA4P
human	EEF1A1	EEF1A1
mouse	EEF1A1	Eef1a1
rat	EEF1A1	Eef1a1
mouse	EEF1A1	Eef1a1-ps1
human	KIAA1598	SHTN1
human	SEPW1	SELENOW
mouse	SEPW1	Selenow
rat	SEPW1	Selenow
human	C20ORF7	NDUFAF5
human	RPS19	RPS19
mouse	RPS19	Rps19
rat	RPS19	Rps19
rat	RPS19	Rps19
rat	RPS19	Rps19
human	C13ORF27	TEX30
human	CYBASC3	CYB561A3
mouse	CYBASC3	Cyb561a3
rat	CYBASC3	Cyb561a3
human	HNRPC	HNRNPC
mouse	HNRPC	Hnrnpc
rat	HNRPC	Hnrnpc
human	SUMF2	SUMF2
mouse	SUMF2	Sumf2
rat	SUMF2	Sumf2
human	FAM116B	DENND6B
mouse	FAM116B	Dennd6b
rat	FAM116B	Dennd6b
human	ECGF1	SCO2
human	ECGF1	S1PR1
human	ECGF1	TYMP
mouse	ECGF1	Tymp
rat	ECGF1	Tymp
human	AMY2A	AMY2A
mouse	AMY2A	Amy2a3
mouse	AMY2A	Amy2a4
mouse	AMY2A	Amy2b
mouse	AMY2A	Amy2a2
mouse	AMY2A	Amy2a1
human	KIAA1539	FAM214B
human	CCBL1	KYAT1
mouse	CCBL1	Kyat1
rat	CCBL1	Kyat1
human	RPS15A	RPS15A
mouse	RPS15A	Rps15a
rat	RPS15A	Rps15a
human	ZNF33A	ZNF33A
human	FXYD5	FXYD5
mouse	FXYD5	Fxyd5
rat	FXYD5	Fxyd5
human	RPS29	RPS29
mouse	RPS29	Rps29
rat	RPS29	Rps29
human	SUZ12P	SUZ12P1
mouse	DCDC5	Dcdc5
rat	DCDC5	Dcdc5
human	DCDC5	DCDC1
human	AMY2B	AMY2B
mouse	AMY2B	Amy2b
human	HDGF2	HDGFL2
human	HDGF2	HDGFL3
rat	HDGF2	Hdgfl2
human	CRSP2	MED14
mouse	CRSP2	Med14
human	UBA52	UBA52
mouse	UBA52	Uba52
rat	UBA52	Uba52
mouse	UBA52	Ubg
mouse	UBA52	Rps27a
mouse	UBA52	Ubb
mouse	UBA52	Ubc
mouse	UBA52	Gm11808
human	RPL35A	RPL35A
mouse	RPL35A	Rpl35a
rat	RPL35A	Rpl35a
rat	RPL35A	Rpl35al1
human	RPS28	RPS28
mouse	RPS28	Rps28
rat	RPS28	Rps28
human	RPL13L	RPL13P5
human	C11ORF2	IFT46
human	C11ORF2	VPS51
mouse	C11ORF2	Ift46
human	C7ORF54	SND1-IT1
human	RPL39	RPL39
mouse	RPL39	Rpl39
rat	RPL39	Rpl39
human	ZNF586	ZNF586
human	RPS17	RPS17
mouse	RPS17	Rps17
rat	RPS17	Rps17
human	C10ORF57	TMEM254
human	RPS24	RPS24
mouse	RPS24	Rps24
rat	RPS24	Rps24
human	ALDH9A1	ALDH9A1
mouse	ALDH9A1	Aldh9a1
rat	ALDH9A1	Aldh9a1
human	RPL15	RPL15
mouse	RPL15	Rpl15
rat	RPL15	Rpl15
human	XRCC6BP1	ATP23
mouse	XRCC6BP1	Atp23
rat	XRCC6BP1	Atp23
human	RPL22	RPL22
mouse	RPL22	Rpl22
rat	RPL22	Rpl22
human	C20ORF43	RTF2
human	GNB2L1	RACK1
mouse	GNB2L1	Rack1
rat	GNB2L1	Rack1
human	FAHD2B	FAHD2B
human	TINP1	NSA2
mouse	TINP1	Nsa2
rat	TINP1	Nsa2
human	RPL5	RPL5
mouse	RPL5	Rpl5
rat	RPL5	Rpl5
human	RPS3A	RPS3A
rat	RPS3A	Rps3a
mouse	RPS3A	Rps3a1
human	C19ORF53	C19orf53
human	IFP38	EIF3FP2
human	C12ORF47	MAPKAPK5-AS1
human	ZNF707	ZNF707
rat	ZNF707	Zfp707
human	C4ORF14	NOA1
human	LGTN	LGTN
human	LGTN	EIF2D
mouse	LGTN	Eif2d
rat	LGTN	Eif2d
rat	LGTN	Eif2d-ps1
human	CTSL1	CTSL
mouse	CTSL1	Ctsl
rat	CTSL1	Ctsl
human	C17ORF45	LRRC75A-AS1
human	PMS2L5	PMS2P5
human	C7ORF25	C7orf25
human	TRERF1	TRERF1
mouse	TRERF1	Trerf1
rat	TRERF1	Trerf1
