SPECIES	QUERY	SYMBOL
human	C19ORF48	C19orf48
mouse	MGEA5	Mgea5
human	MGEA5	OGA
rat	MGEA5	Oga
human	SFRS15	SCAF4
mouse	SFRS15	Scaf4
rat	SFRS15	Scaf4
human	C1ORF41	HSPB11
human	FAM86C	FAM86C1
human	MGC27345	MGC27345
human	LDOC1L	RTL6
mouse	LDOC1L	Rtl6
rat	LDOC1L	Rtl6
human	C12ORF43	C12orf43
human	C14ORF118	GPATCH2L
human	MTERFD1	MTERF3
mouse	MTERFD1	Mterf3
rat	MTERFD1	Mterf3
human	LOC642897	LOC642897
mouse	ATP5G1	Atp5g1
human	ATP5G1	ATP5MC1
rat	ATP5G1	Atp5mc1
human	GOLPH4	GOLIM4
mouse	GOLPH4	Golim4
rat	GOLPH4	Golim4
human	SLMO1	PRELID3A
mouse	SLMO1	Prelid3a
rat	SLMO1	Prelid3a
human	STAG3L1	STAG3L1
human	STAG3L1	STAG3L1
human	STAG3L1	STAG3L3
human	STAG3L1	STAG3L2
human	DKFZP586I1420	DKFZP586I1420
human	ZNF525	ZNF525
human	C8ORF55	THEM6
human	C19ORF6	TMEM259
human	C19ORF25	C19orf25
human	C2ORF47	ERGIC3
human	C2ORF47	MAIP1
human	ZNF133	ZNF133
rat	ZNF133	Zfp133
human	ZNF234	ZNF234
human	PRUNE	PRUNE1
mouse	PRUNE	Prune1
rat	PRUNE	Prune1
human	ZNF225	ZNF225
human	ZNF225	EGR1
human	C16ORF58	C16orf58
human	SF4	SUGP1
mouse	SF4	Sugp1
rat	SF4	Sugp1
human	C17ORF79	COPRS
human	LOC728499	LOC728499
mouse	ATP5G3	Atp5g3
human	ATP5G3	ATP5MC3
rat	ATP5G3	Atp5mc3
human	C13ORF34	BORA
human	KIAA0020	PUM3
human	SUV420H1	KMT5B
mouse	SUV420H1	Kmt5b
rat	SUV420H1	Kmt5b
human	C20ORF55	FAM110A
human	C1ORF116	C1orf116
mouse	FDX1L	Fdx1l
human	FDX1L	FDX2
rat	FDX1L	Fdx2
human	C19ORF70	C19orf70
human	C21ORF70	FAM207A
human	C7ORF30	MALSU1
human	SMA4	SMA4
human	SMA4	SMN1
human	C18ORF22	RBFA
human	C12ORF11	INTS13
human	ANKRD32	SLF1
mouse	ANKRD32	Slf1
rat	ANKRD32	Slf1
human	SULT1A4	SULT1A4
human	C6ORF173	CENPW
human	ISG20L1	AEN
mouse	ISG20L1	Aen
rat	ISG20L1	Aen
human	FAM176B	EVA1B
mouse	FAM176B	Eva1b
rat	FAM176B	Eva1b
human	C1ORF97	LINC00467
human	C1ORF55	SDE2
human	COBRA1	NELFB
mouse	COBRA1	Nelfb
rat	COBRA1	Nelfb
human	C7ORF26	C7orf26
human	C14ORF129	GSKIP
human	C17ORF59	BORCS6
human	LTB4R	LTB4R
rat	LTB4R	Ltb4r
mouse	LTB4R	Ltb4r1
human	HIP2	UBE2K
mouse	HIP2	Ube2k
rat	HIP2	Ube2k
human	BET1	BET1
mouse	BET1	Bet1
rat	BET1	Bet1
rat	BET1	Bet1l
human	KIAA1279	KIF1BP
human	C9ORF21	PRXL2C
human	CCT6P1	CCT6P1
human	CCT6P1	CCT6P1
human	C14ORF100	JKAMP
human	FAM36A	COX20
mouse	FAM36A	Cox20
rat	FAM36A	Cox20
mouse	NARFL	Narfl
human	NARFL	CIAO3
rat	NARFL	Ciao3
human	CIP29	SARNP
mouse	CIP29	Sarnp
rat	CIP29	Sarnp
human	MAP2K1IP1	LAMTOR3
mouse	MAP2K1IP1	Lamtor3
rat	MAP2K1IP1	Lamtor3
human	HNRPLL	HNRNPLL
mouse	HNRPLL	Hnrnpll
rat	HNRPLL	Hnrnpll
human	PTGES3	PTGES3
mouse	PTGES3	Ptges3
rat	PTGES3	Ptges3
human	C1ORF212	SMIM12
human	ZNF224	ZNF224
human	KIAA0427	CTIF
human	MLL4	KMT2D
human	MLL4	KMT2B
mouse	MLL4	Kmt2d
rat	MLL4	Kmt2b
human	CCDC41	CEP83
mouse	CCDC41	Cep83
rat	CCDC41	Cep83
human	CCDC132	VPS50
mouse	CCDC132	Vps50
rat	CCDC132	Vps50
human	SEC24C	SEC24C
mouse	SEC24C	Sec24c
rat	SEC24C	Sec24c
human	FAM103A1	RAMAC
mouse	FAM103A1	Ramac
rat	FAM103A1	Ramac
human	C20ORF30	TMEM230
human	C9ORF82	CAAP1
human	C3ORF63	FAM208A
human	CAPZA1	CAPZA1
mouse	CAPZA1	Capza1
rat	CAPZA1	Capza1
rat	CAPZA1	Mov10
human	QTRTD1	QTRT2
mouse	QTRTD1	Qtrt2
rat	QTRTD1	Qtrt2
mouse	RWDD4A	Rwdd4a
human	RWDD4A	RWDD4
rat	RWDD4A	Rwdd4
human	RWDD4A	RWDD4P2
human	KIAA1033	WASHC4
mouse	KIAA1033	Washc4
human	C3ORF58	C3orf58
human	C10ORF26	WBP1L
human	C1ORF131	C1orf131
human	ZNF324	ZNF324
rat	ZNF324	Zfp324
human	ZNF75A	ZNF75A
human	SUMO1P3	SUMO1P3
human	SUMO1P3	SUMO1P3
human	DNAJC25	DNAJC25
mouse	DNAJC25	Dnajc25
rat	DNAJC25	Dnajc25
human	C5ORF35	SETD9
human	C9ORF91	TMEM268
human	SC4MOL	MSMO1
mouse	SC4MOL	Msmo1
rat	SC4MOL	Msmo1
human	DKFZP686O24166	NCR3LG1
human	C21ORF57	YBEY
mouse	C21ORF57	Ybey
human	AMY1B	AMY1B
human	AMY1A	AMY1A
rat	AMY1A	Amy1a
mouse	AMY1A	Amy1
human	C3ORF17	NEPRO
human	AMY1C	AMY1C
human	GPR124	ADGRA2
mouse	GPR124	Adgra2
rat	GPR124	Adgra2
human	FAM105B	OTULIN
mouse	FAM105B	Otulin
rat	FAM105B	Otulin
human	TMEM14B	TMEM14B
human	KTELC1	POGLUT1
mouse	KTELC1	Poglut1
rat	KTELC1	Poglut1
human	LOR	LOR
mouse	LOR	Lor
rat	LOR	Lor
human	LOR	LOXL2
mouse	LOR	Aass
human	GPR64	ADGRG2
mouse	GPR64	Adgrg2
rat	GPR64	Adgrg2
human	C1ORF115	C1orf115
human	PHF16	JADE3
mouse	PHF16	Jade3
human	LAMP3	LAMP3
mouse	LAMP3	Lamp3
rat	LAMP3	Lamp3
human	CASZ1	CASZ1
mouse	CASZ1	Casz1
rat	CASZ1	Casz1
human	RPL39L	RPL39L
mouse	RPL39L	Rpl39l
rat	RPL39L	Rpl39l
human	N-PAC	GLYR1
rat	N-PAC	Glyr1
human	DSCR3	VPS26C
mouse	DSCR3	Vps26c
rat	DSCR3	Vps26c
human	EMR3	ADGRE3
human	S100A12	S100A12
human	FAM46A	TENT5A
mouse	FAM46A	Tent5a
rat	FAM46A	Tent5a
human	MRLC2	MYL12B
human	MRLC2	MYLPF
rat	MRLC2	Myl12b
human	C3ORF64	EOGT
human	C22ORF39	C22orf39
human	ALS2CR4	TMEM237
mouse	ALS2CR4	Tmem237
rat	ALS2CR4	Tmem237
human	CXCR7	ACKR3
mouse	CXCR7	Ackr3
rat	CXCR7	Ackr3
human	CASP5	CASP5
mouse	ATP5H	Atp5h
human	ATP5H	ATP5PD
rat	ATP5H	Atp5pd
human	SIGLEC5	SIGLEC5
rat	SIGLEC5	Siglec5
mouse	SIGLEC5	Siglece
mouse	SIGLEC5	Siglecf
human	C3ORF59	MB21D2
human	TRK1	TRK-TTT3-5
human	TRK1	NTRK1
human	HIST1H2AC	HIST1H2AC
mouse	HIST1H2AC	Hist1h2ac
rat	HIST1H2AC	Hist1h2ac
human	GUSBL1	GUSBP2
human	C6ORF70	ERMARD
human	PDDC1	GATD1
mouse	PDDC1	Gatd1
rat	PDDC1	Gatd1
human	GPR132	GPR132
mouse	GPR132	Gpr132
rat	GPR132	Gpr132
human	FAM109A	PHETA1
mouse	FAM109A	Pheta1
rat	FAM109A	Pheta1
human	NIP30	FAM192A
mouse	NIP30	Fam192a
rat	NIP30	Fam192a
human	FAM108C1	ABHD17C
mouse	FAM108C1	Abhd17c
rat	FAM108C1	Abhd17c
human	C14ORF159	DGLUCY
human	CXCL1	CXCL1
mouse	CXCL1	Cxcl1
rat	CXCL1	Cxcl1
human	CUTL1	CUX1
mouse	CUTL1	Cux1
rat	CUTL1	Cux1
human	ZNF28	ZNF28
human	C11ORF17	AKIP1
mouse	C11ORF17	Akip1
human	FSD1CL	FSD1L
human	KIAA1199	CEMIP
mouse	KIAA1199	Cemip
human	PSCDBP	CYTIP
mouse	PSCDBP	Cytip
rat	PSCDBP	Cytip
mouse	NLF2	Nlf2
human	NLF2	C2CD4B
rat	NLF2	C2cd4b
human	IL8	CXCL8
mouse	IL8	Cxcl15
human	BTN2A1	BTN2A1
mouse	IL1F9	Il1f9
human	IL1F9	IL36G
mouse	IL1F9	Il1f6
rat	IL1F9	Il36g
human	C14ORF135	PCNX4
mouse	GRAMD3	Gramd3
human	GRAMD3	GRAMD2B
rat	GRAMD3	Gramd2b
human	C14ORF106	MIS18BP1
human	C10ORF6	SLF2
mouse	KCNE1L	Kcne1l
human	KCNE1L	KCNE5
rat	KCNE1L	Kcne5
human	ZNF649	ZNF649
human	HIST1H2BK	HIST1H2BK
mouse	HIST1H2BK	Hist1h2bk
rat	HIST1H2BK	Hist1h2bk
human	DUS2L	DUS2
mouse	DUS2L	Dus2
rat	DUS2L	Dus2
human	LOC642361	LOC642361
human	ZNF232	ZNF232
human	LOC374443	LOC374443
human	C17ORF91	MIR22HG
human	WDR52	CFAP44
mouse	WDR52	Cfap44
rat	WDR52	Cfap44
human	C5ORF37	POC5
human	TRAPPC2	TRAPPC2
mouse	TRAPPC2	Trappc2
rat	TRAPPC2	Trappc2
human	C1ORF166	MUL1
human	UBE1C	UBA3
mouse	UBE1C	Uba3
rat	UBE1C	Uba3
human	ZFY	ZFY
rat	ZFY	LOC103694540
human	KIAA0528	C2CD5
human	LOC143666	LOC143666
human	GRINL1A	POLR2M
human	GRINL1A	GCOM1
mouse	GRINL1A	Polr2m
rat	GRINL1A	Polr2m
human	MMP10	MMP10
mouse	MMP10	Mmp10
rat	MMP10	Mmp10
human	MUCL1	MUCL1
mouse	MUCL1	Mucl1
mouse	MUCL1	Mucl1
mouse	MUCL1	Mucl1
rat	MUCL1	Mucl1
human	CECR1	ADA2
human	C6ORF105	ADTRP
human	SELK	SELENOK
mouse	SELK	Selenok
rat	SELK	Selenok
human	ZNF573	ZNF573
human	C2ORF30	ERLEC1
human	APOBEC3C	APOBEC3C
human	MESDC1	TLNRD1
mouse	MESDC1	Tlnrd1
rat	MESDC1	Tlnrd1
human	LRRC50	DNAAF1
mouse	LRRC50	Dnaaf1
rat	LRRC50	Dnaaf1
human	C21ORF7	MAP3K7CL
mouse	C21ORF7	Map3k7cl
human	SLC2A14	SLC2A14
mouse	FYB	Fyb
human	FYB	FYB1
rat	FYB	Fyb1
human	C19ORF42	SMIM7
human	C12ORF57	C12orf57
human	ZNF805	ZNF805
human	C14ORF173	INF2
human	CCDC56	COA3
mouse	CCDC56	Coa3
rat	CCDC56	Coa3
human	SIRPA	SIRPA
mouse	SIRPA	Sirpa
rat	SIRPA	Sirpa
human	CENTG3	AGAP3
mouse	CENTG3	Agap3
rat	CENTG3	Agap3
human	CCDC90A	MCUR1
mouse	CCDC90A	Mcur1
rat	CCDC90A	Mcur1
human	EPDR1	EPDR1
mouse	EPDR1	Epdr1
rat	EPDR1	Epdr1
human	KIAA1737	CIPC
human	C2ORF76	C2orf76
human	KIAA0196	WASHC5
human	RAB7L1	RAB29
mouse	RAB7L1	Rab29
rat	RAB7L1	Rab29
human	C1ORF162	C1orf162
mouse	PCNX	Pcnx
human	PCNX	PCNX1
rat	PCNX	Pcnx1
human	C7ORF44	COA1
human	PCTK3	CDK18
mouse	PCTK3	Cdk18
rat	PCTK3	Cdk18
human	IL3RA	IL3RA
mouse	IL3RA	Il3ra
rat	IL3RA	Il3ra
human	IL32	IL32
human	ZNF828	CHAMP1
mouse	ZNF828	Champ1
mouse	ATP5J2	Atp5j2
human	ATP5J2	ATP5MF
rat	ATP5J2	Atp5mf
human	FAM23B	TMEM236
human	AKR7A2	AKR7A2
rat	AKR7A2	Akr7a2
mouse	AKR7A2	Akr7a5
human	KIAA1383	MAP10
human	C20ORF160	CCM2L
human	SR140	U2SURP
mouse	SR140	U2surp
human	TNRC15	GIGYF2
mouse	TNRC15	Gigyf2
mouse	GUCY1B2	Gucy1b2
rat	GUCY1B2	Gucy1b2
human	GUCY1B2	GUCY1B2
human	C20ORF29	AP5S1
rat	MCMDC1	Mcmdc1
human	MCMDC1	MCM9
mouse	MCMDC1	Mcm9
human	GPR120	FFAR4
mouse	GPR120	Ffar4
rat	GPR120	Ffar4
human	TNFRSF10B	TNFRSF10B
mouse	TNFRSF10B	Tnfrsf10b
rat	TNFRSF10B	Tnfrsf10b
human	P8	NUPR1
human	P8	CMC4
human	P8	EXOSC7
human	P8	S100A8
mouse	P8	Nupr1
mouse	P8	S100a8
rat	P8	Nupr1
human	C17ORF49	C17orf49
human	C17ORF49	RNASEK-C17orf49
human	C12ORF41	KANSL2
human	C19ORF52	TIMM29
human	C7ORF50	C7orf50
human	TNFRSF10D	TNFRSF10D
human	COL7A1	COL7A1
mouse	COL7A1	Col7a1
rat	COL7A1	Col7a1
human	LOC653513	LOC653513
human	BAT2D1	PRRC2C
mouse	BAT2D1	Prrc2c
rat	BAT2D1	Prrc2c
human	TNFRSF6B	TNFRSF6B
human	NBPF1	NBPF1
human	C6ORF52	C6orf52
human	C22ORF9	KIAA0930
human	C11ORF82	DDIAS
human	KIAA1641	ANKRD36B
human	VSTM1	VSTM1
mouse	VSTM1	Vstm1
rat	VSTM1	Vstm1
human	C16ORF52	MOSMO
human	SHRM	SHROOM3
mouse	SHRM	Shroom3
rat	SHRM	Shroom3
human	NGFRAP1	BEX3
mouse	NGFRAP1	Bex3
rat	NGFRAP1	Bex3
mouse	TREML3	Treml4
human	TREML3	TREML3P
human	DOPEY2	DOP1B
mouse	DOPEY2	Dop1b
rat	DOPEY2	Dop1b
human	WDR68	DCAF7
mouse	WDR68	Dcaf7
rat	WDR68	Dcaf7
human	MYL5	MYL5
human	AP1S2	AP1S2
mouse	AP1S2	Ap1s2
rat	AP1S2	Ap1s2
human	HNRPH1	HNRNPH1
mouse	HNRPH1	Hnrnph1
rat	HNRPH1	Hnrnph1
human	CCDC104	CFAP36
mouse	CCDC104	Cfap36
rat	CCDC104	Cfap36
human	C4ORF41	TRAPPC11
human	ANAPC11	ANAPC11
mouse	ANAPC11	Anapc11
rat	ANAPC11	Anapc11
human	BRP44	MPC2
mouse	BRP44	Mpc2
rat	BRP44	Mpc2
human	FAM12A	EDDM3A
human	LOC728715	LOC728715
human	RAB3IP	RAB3IP
mouse	RAB3IP	Rab3ip
rat	RAB3IP	Rab3ip
human	TBC1D3G	TBC1D3G
human	TBC1D3G	TBC1D3F
human	SFRS13B	SRSF12
mouse	SFRS13B	Srsf12
human	SELM	SELENOM
mouse	SELM	Selenom
rat	SELM	Selenom
human	C3ORF14	C3orf14
human	VIL2	EZR
mouse	VIL2	Ezr
rat	VIL2	Ezr
human	P2RY11	P2RY11
human	P2RY11	PPAN-P2RY11
human	NBPF14	NBPF14
human	ANXA2P3	ANXA2P3
human	ANXA2P3	ANXA2P3
human	SRRM1L	SRRM1P1
human	KIAA1949	PPP1R18
rat	KIAA1949	Ppp1r18
human	CLECL1	CLECL1
human	WDR8	WRAP73
mouse	WDR8	Wrap73
rat	WDR8	Wrap73
human	ANXA2P1	ANXA2P1
human	ANXA2P1	ANXA2P1
human	FAM127A	RTL8C
human	C10ORF141	INSYN2
human	PILRB	PILRB
rat	PILRB	Pilrb
human	PILRB	STAG3L5P-PVRIG2P-PILRB
mouse	PILRB	Pilrb1
human	ZNF696	ZNF696
human	NAT5	NAA50
human	NAT5	NAA20
mouse	NAT5	Naa50
mouse	NAT5	Naa20
rat	NAT5	Naa20
human	LOC399715	LOC399715
human	CXORF45	ALG13
mouse	CRAMP1L	Cramp1l
human	CRAMP1L	CRAMP1
rat	CRAMP1L	Cramp1
human	CCDC53	WASHC3
mouse	CCDC53	Washc3
rat	CCDC53	Washc3
human	C8ORF76	C8orf76
human	C21ORF66	PAXBP1
mouse	C21ORF66	Paxbp1
human	P704P	POTEM
human	C18ORF25	C18orf25
human	LOC402221	LOC402221
human	KIAA0892	MAU2
human	METT11D1	METTL17
mouse	METT11D1	Mettl17
rat	METT11D1	Mettl17
human	POLS	TENT4A
mouse	POLS	Tent4a
rat	POLS	Tent4a
human	YBX1	YBX1
mouse	YBX1	Ybx1
rat	YBX1	Ybx1
mouse	MKL1	Mkl1
human	MKL1	MRTFA
rat	MKL1	Mrtfa
human	KIAA1967	CCAR2
human	ZNF175	ZNF175
human	CTGLF3	AGAP6
mouse	ATP5D	Atp5d
human	ATP5D	ATP5F1D
rat	ATP5D	Atp5f1d
human	FAM105A	OTULINL
mouse	FAM105A	Otulinl
rat	FAM105A	Otulinl
human	C21ORF33	GATD3A
mouse	C21ORF33	D10Jhu81e
rat	C21ORF33	Gatd3a
human	MEIS3P1	MEIS3P1
human	MEIS3P1	MEIS3P1
human	TCHP	TCHP
mouse	TCHP	Tchp
rat	TCHP	Tchp
human	C17ORF101	OGFOD3
human	C14ORF28	C14orf28
human	MMS19L	MMS19
mouse	MMS19L	Mms19
rat	MMS19L	Mms19
human	C14ORF32	MAPK1IP1L
human	PFAAP5	N4BP2L2
human	ZNF614	ZNF614
human	MAPBPIP	LAMTOR2
mouse	MAPBPIP	Lamtor2
rat	MAPBPIP	Lamtor2
human	PPP1R7	PPP1R7
mouse	PPP1R7	Ppp1r7
rat	PPP1R7	Ppp1r7
human	ORC2L	ORC2
mouse	ORC2L	Orc2
rat	ORC2L	Orc2
human	APOA1BP	NAXE
mouse	APOA1BP	Naxe
rat	APOA1BP	Naxe
human	GBP3	GBP3
mouse	GBP3	Gbp3
rat	GBP3	Gbp3
human	GBP3	ATL1
human	CCDC101	SGF29
mouse	CCDC101	Sgf29
rat	CCDC101	Sgf29
human	ZNF816A	ZNF816
human	C2ORF42	C2orf42
human	KIAA1712	CEP44
human	DDX50	DDX50
mouse	DDX50	Ddx50
rat	DDX50	Ddx50
human	TTC31	TTC31
SPECIES	QUERY	SYMBOL
human	C2ORF29	CNOT11
human	SFRS2IP	SCAF11
mouse	SFRS2IP	Scaf11
rat	SFRS2IP	Scaf11
human	FAM108B1	ABHD17B
mouse	FAM108B1	Abhd17b
rat	FAM108B1	Abhd17b
human	C15ORF40	C15orf40
human	PI4KAP2	PI4KAP2
human	PI4KAP2	PI4KAP2
human	TPI1	TPI1
mouse	TPI1	Tpi1
rat	TPI1	Tpi1
human	SNHG11	SNHG11
human	SNHG11	SNHG11
mouse	SNHG11	Snhg11
rat	SNHG11	Snhg11
human	C15ORF23	KNSTRN
mouse	C15ORF23	Knstrn
rat	C15ORF23	Knstrn
human	HIATL1	MFSD14B
mouse	HIATL1	Mfsd14b
rat	HIATL1	Mfsd14b
human	FAM10A7	ST13P7
human	GLTSCR1	BICRA
mouse	GLTSCR1	Bicra
rat	GLTSCR1	Bicra
human	METTL11A	NTMT1
mouse	METTL11A	Ntmt1
rat	METTL11A	Ntmt1
human	RNF5P1	RNF5P1
human	RNF5P1	RNF5P1
human	C19ORF66	C19orf66
human	KIAA1468	RELCH
mouse	KIAA1468	Relch
human	PCNP	PCNP
mouse	PCNP	Pcnp
rat	PCNP	Pcnp
human	POLD3	POLD3
mouse	POLD3	Pold3
rat	POLD3	Pold3
human	PREI3	MOB4
mouse	PREI3	Mob4
rat	PREI3	Mob4
human	STX10	STX10
human	TIGD7	TIGD7
human	ZNF529	ZNF529
human	C3ORF38	C3orf38
human	CROP	LUC7L3
rat	CROP	Luc7l3
human	CICE	CIDECP
human	THOC4	ALYREF
mouse	THOC4	Alyref
rat	THOC4	Alyref
human	SNORA70	SNORA70
mouse	SNORA70	Snora70
mouse	SNORA70	Snora70
human	ZNF701	ZNF701
human	C17ORF80	C17orf80
human	GNAQ	GNAQ
mouse	GNAQ	Gnaq
rat	GNAQ	Gnaq
human	ZNF721	ZNF721
human	WDR57	SNRNP40
mouse	WDR57	Snrnp40
human	PIPSL	PIPSL
human	PIPSL	PIPSL
human	C17ORF60	MILR1
human	SDCCAG1	NEMF
mouse	SDCCAG1	Nemf
rat	SDCCAG1	Nemf
rat	SDCCAG1	Sdccag1-ps1
human	KIAA0261	WAPL
human	C15ORF44	INTS14
human	C7ORF28B	CCZ1B
human	GPR89C	GPR89B
human	ACP1	ACP1
mouse	ACP1	Acp1
rat	ACP1	Acp1
human	ACP1	NDUFAB1
human	MRC1L1	MRC1
rat	BP75	Bp75
human	BP75	BRD7
mouse	BP75	Brd7
human	BP75	BRD7P3
human	POLR2J3	POLR2J3
human	POLR2J3	POLR2J3
human	POLR2J3	POLR2J2
human	SCML1	SCML1
mouse	SCML1	Scml1
mouse	SCML1	Scml1
rat	SCML1	Scml1
human	SCML1	NHS
mouse	SCML1	Scmh1
human	C18ORF21	C18orf21
human	C9ORF156	TRMO
human	TMEM134	TMEM134
mouse	TMEM134	Tmem134
rat	TMEM134	Tmem134
human	FAM175B	ABRAXAS2
mouse	FAM175B	Abraxas2
rat	FAM175B	Abraxas2
human	SFRS12	SREK1
mouse	SFRS12	Srek1
rat	SFRS12	Srek1
human	C19ORF12	C19orf12
human	C19ORF62	BABAM1
human	FAM116A	DENND6A
mouse	FAM116A	Dennd6a
rat	FAM116A	Dennd6a
human	TOP1P2	TOP1P2
human	SMEK2	PPP4R3B
mouse	SMEK2	Ppp4r3b
